MAC Address,Name,First Seen,Last Seen,Hit Count,Time Active (minutes)
BLE,7B:B5:EC:82:26:49,7B-B5-EC-82-26-49,2025-04-26 23:57:15,2025-04-26 23:57:15,1,0
BLE,62:6C:CB:73:1D:1F,62-6C-CB-73-1D-1F,2025-04-26 23:57:15,2025-04-26 23:57:15,1,0
BLE,C3:3F:CC:9C:D9:02,C3-3F-CC-9C-D9-02,2025-04-27 00:00:40,2025-04-27 00:00:40,1,0
BLE,EE:E1:52:60:01:DB,EE-E1-52-60-01-DB,2025-04-27 00:00:40,2025-04-27 00:00:40,1,0
BLE,6D:A9:88:F5:C3:03,6D-A9-88-F5-C3-03,2025-04-27 00:01:48,2025-04-27 00:01:48,1,0
BLE,64:E5:51:2C:7E:F5,64-E5-51-2C-7E-F5,2025-04-27 00:01:48,2025-04-27 00:01:48,1,0
BLE,50:E5:4C:19:FE:1C,50-E5-4C-19-FE-1C,2025-04-27 00:04:04,2025-04-27 00:04:04,1,0
BLE,57:84:6B:3A:D9:8D,57-84-6B-3A-D9-8D,2025-04-27 00:04:04,2025-04-27 00:04:04,1,0
BLE,4E:FC:FE:2C:6C:39,4E-FC-FE-2C-6C-39,2025-04-27 00:05:12,2025-04-27 00:05:12,1,0
BLE,77:A8:1E:4C:49:AB,77-A8-1E-4C-49-AB,2025-04-27 00:12:01,2025-04-27 00:12:01,1,0
BLE,E5:D4:9C:B2:42:D4,E5-D4-9C-B2-42-D4,2025-04-27 00:15:25,2025-04-27 00:15:25,1,0
BLE,F7:6A:4F:3F:34:C6,F7-6A-4F-3F-34-C6,2025-04-27 00:15:25,2025-04-27 00:15:25,1,0
BLE,79:6B:89:EB:9B:F4,79-6B-89-EB-9B-F4,2025-04-27 00:16:33,2025-04-27 00:16:33,1,0
BLE,7E:E5:8C:85:83:93,7E-E5-8C-85-83-93,2025-04-27 00:16:33,2025-04-27 00:16:33,1,0
BLE,72:8A:8D:A2:1C:15,72-8A-8D-A2-1C-15,2025-04-27 00:16:33,2025-04-27 00:16:33,1,0
BLE,58:1A:14:AC:31:CB,58-1A-14-AC-31-CB,2025-04-27 00:17:41,2025-04-27 00:17:41,1,0
BLE,7E:80:1D:CC:8E:E7,7E-80-1D-CC-8E-E7,2025-04-27 00:17:41,2025-04-27 00:17:41,1,0
BLE,50:D1:1A:46:6E:0E,50-D1-1A-46-6E-0E,2025-04-27 00:17:41,2025-04-27 00:17:41,1,0
BLE,6D:A9:88:F5:C3:03,Unknown Vendor,6D-A9-88-F5-C3-03,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,4E:FC:FE:2C:6C:39,Unknown Vendor,4E-FC-FE-2C-6C-39,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,DC:0D:30:A0:5E:CD,Zebra Technologies,Label Printer-5ECD-LE,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,77:A8:1E:4C:49:AB,Unknown Vendor,77-A8-1E-4C-49-AB,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,50:D1:1A:46:6E:0E,Unknown Vendor,50-D1-1A-46-6E-0E,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,7E:80:1D:CC:8E:E7,Unknown Vendor,7E-80-1D-CC-8E-E7,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,58:1A:14:AC:31:CB,Unknown Vendor,58-1A-14-AC-31-CB,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,50:E5:4C:19:FE:1C,Unknown Vendor,50-E5-4C-19-FE-1C,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,F7:6A:4F:3F:34:C6,Unknown Vendor,F7-6A-4F-3F-34-C6,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,DC:1D:30:A0:5E:CD,Unknown Vendor,Label Printer-5ECD,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,E5:D4:9C:B2:42:D4,Unknown Vendor,E5-D4-9C-B2-42-D4,2025-04-27 00:18:37,2025-04-27 00:18:37,1,0
BLE,64:E5:51:2C:7E:F5,Unknown Vendor,64-E5-51-2C-7E-F5,2025-04-27 00:19:56,2025-04-27 00:19:56,1,0
BLE,57:84:6B:3A:D9:8D,Unknown Vendor,57-84-6B-3A-D9-8D,2025-04-27 00:19:56,2025-04-27 00:19:56,1,0
BLE,6F:AA:E4:E8:45:59,Unknown Vendor,6F-AA-E4-E8-45-59,2025-04-27 00:22:13,2025-04-27 00:22:13,1,0
BLE,7A:FC:F8:41:9D:BF,Unknown Vendor,7A-FC-F8-41-9D-BF,2025-04-27 00:22:13,2025-04-27 00:22:13,1,0
BLE,59:21:54:06:CF:98,Unknown Vendor,59-21-54-06-CF-98,2025-04-27 00:22:13,2025-04-27 00:22:13,1,0
BLE,77:BF:41:FC:28:AB,Unknown Vendor,77-BF-41-FC-28-AB,2025-04-27 00:22:13,2025-04-27 00:22:13,1,0
BLE,77:BF:41:FC:28:AB,Unknown Vendor,77-BF-41-FC-28-AB,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,E5:D4:9C:B2:42:D4,Unknown Vendor,E5-D4-9C-B2-42-D4,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
BLE,DC:0D:30:A0:5E:CD,"Shenzhen Feasycom Technology Co., Ltd.",Label Printer-5ECD-LE,2025-04-27 00:27:24,2025-04-27 00:27:24,1,0
